,County,Cluster,R_0 (std),R_5/28 (std),# (\%) infected as predicted,Measured cases,Fatality rate (measured death/cases)
0,"Baldwin County, AL",5,3.505 (0.106),1.088 (0.030),1185 (0.5),3175,0.69\%
1,"Bibb County, AL",5,3.505 (0.106),1.088 (0.030),161 (0.7),364,0.82\%
2,"Calhoun County, AL",5,3.505 (0.106),1.088 (0.030),484 (0.4),1535,0.59\%
3,"Clarke County, AL",5,3.505 (0.106),1.088 (0.030),484 (2.0),484,1.86\%
4,"Dallas County, AL",5,3.505 (0.106),1.088 (0.030),1238 (3.2),1280,1.80\%
5,"Etowah County, AL",5,3.505 (0.106),1.088 (0.030),1346 (1.3),1914,1.31\%
6,"Russell County, AL",5,3.505 (0.106),1.088 (0.030),53 (0.1),1220,0.08\%
7,"Shelby County, AL",5,3.505 (0.106),1.088 (0.030),1723 (0.8),3002,1.07\%
8,"Montgomery County, AL",5,0.955 (0.034),1.059 (0.039),9824 (4.4),6198,2.31\%
9,"Craighead County, AR",5,0.967 (0.043),1.119 (0.047),415 (0.4),1120,0.98\%
10,"Crittenden County, AR",5,0.967 (0.043),1.119 (0.047),754 (1.6),1213,1.65\%
11,"Garland County, AR",5,0.967 (0.043),1.119 (0.047),264 (0.3),843,0.83\%
12,"Hempstead County, AR",5,0.967 (0.043),1.119 (0.047),75 (0.3),210,0.95\%
13,"Hot Spring County, AR",5,0.967 (0.043),1.119 (0.047),301 (0.9),1457,0.55\%
14,"Lawrence County, AR",5,0.967 (0.043),1.119 (0.047),377 (2.3),185,5.41\%
15,"Miller County, AR",5,0.967 (0.043),1.119 (0.047),150 (0.3),462,0.87\%
16,"Sebastian County, AR",5,0.967 (0.043),1.119 (0.047),565 (0.4),1768,0.85\%
17,"Del Norte County, CA",5,1.049 (0.126),1.044 (0.126),0 (0.0),88,0.00\%
18,"Kings County, CA",5,1.049 (0.126),1.044 (0.126),1953 (1.3),4380,1.28\%
